RN,CCTVID,CCTVNAME,CENTERNAME,XCOORD,YCOORD
1,L933092,가거도,KBS 재난포털,125.12927,34.05293
2,L933065,가평 가평2교(북한강),KBS 재난포털,127.52289,37.83101
3,L933061,강릉 강릉방송총국,KBS 재난포털,128.89116,37.752075
4,L933062,강릉 주문진방파제,KBS 재난포털,128.8335,37.89341
5,L933102,공주 금강교 (금강),KBS 재난포털,127.12639,36.47092
6,L933101,공주시(금강교),KBS 재난포털,127.1275,36.47
7,L933066,구리 왕숙천,KBS 재난포털,127.15023,37.59938
8,L933096,군산 비응항,KBS 재난포털,126.52654,35.93531
9,L933090,나주 나주대교(영산강),KBS 재난포털,126.73217,35.03719
10,L933097,남원 뱀사골(지리산),KBS 재난포털,127.57957,35.37289
11,L933104,단양 도담삼봉,KBS 재난포털,128.34193,37.00052
12,L933072,대구 동구 신천,KBS 재난포털,128.60973,35.87561
13,L933073,대전 유성구 갑천,KBS 재난포털,127.37385,36.37241
14,L933074,독도,KBS 재난포털,131.8686,37.23936
15,L933100,마라도,KBS 재난포털,126.26838,33.113922
16,L933091,목포 북항,KBS 재난포털,126.3652,34.8042
17,L933068,밀양 삼랑진(낙동강),KBS 재난포털,128.8252,35.38455
18,L933075,부산 동래구 세병교(온천천),KBS 재난포털,129.0825,35.19768
19,L933076,부산 수영만,KBS 재난포털,129.13121,35.15376
20,L933077,서울 강남구 강남대로,KBS 재난포털,127.0262,37.50135
21,L933078,서울 강남구 대치역사거리,KBS 재난포털,127.06284,37.49451
22,L933079,서울 노원구 중랑천,KBS 재난포털,127.0627,37.63238
23,L933080,서울 마포구 성산교,KBS 재난포털,126.899925,37.56269
24,L933081,서울 반포한강시민공원,KBS 재난포털,126.997116,37.51172
25,L933082,서울 서초구 서초대로,KBS 재난포털,127.024345,37.49714
26,L933083,서울 서초구 양재천,KBS 재난포털,127.03796,37.47327
27,L933086,서울광장,KBS 재난포털,126.978,37.56557
28,L933063,속초 등대전망대,KBS 재난포털,128.6001,38.21339
29,L933093,여수 거문도,KBS 재난포털,127.30738,34.02316
30,L933094,여수 오동도,KBS 재난포털,127.7557,34.74098
31,L933084,여의도,KBS 재난포털,126.91993,37.52219
32,L933088,연평도,KBS 재난포털,125.6945,37.662
33,L933095,완도 완도항,KBS 재난포털,126.748856,34.32091
34,L933070,울릉 저동항,KBS 재난포털,130.91219,37.49132
35,L933087,울산 총국,KBS 재난포털,129.32654,35.544197
36,L933089,인천 연안부두,KBS 재난포털,126.59862,37.45414
37,L933098,전주 KBS전주방송총국,KBS 재난포털,127.10504,35.822895
38,L933099,제주 제주방송총국,KBS 재난포털,126.5195,33.48906
39,L933069,창원 마산연안여객선터미널,KBS 재난포털,128.576,35.19785
40,L933105,청주 무심천,KBS 재난포털,127.48227,36.63583
41,L933103,태안 신진항,KBS 재난포털,126.13653,36.67788
42,L933067,파주 감악산,KBS 재난포털,126.9702,37.941704
43,L933064,평창 대관령,KBS 재난포털,128.75528,37.69804
44,L933071,포항 두호동,KBS 재난포털,129.38959,36.06269
45,L933085,한강,KBS 재난포털,127.00512,37.52775
46,L280068,6번교차로-01,거제교통정보센터,128.6218785,34.8915019
47,L280069,6번교차로-02,거제교통정보센터,128.6213611,34.891383
48,L280070,6번교차로-03,거제교통정보센터,128.6217582,34.8912017
49,L280071,6번교차로-04,거제교통정보센터,128.6215459,34.8916603
50,L280056,가덕영업소,거제교통정보센터,128.8173442,35.0256198
51,L280051,거가1교,거제교통정보센터,128.7319259,35.0177349
52,L280050,거가1교(저도방향),거제교통정보센터,128.7319259,35.0177349
53,L280052,거가2교,거제교통정보센터,128.758293,35.0146692
54,L280001,거제면 귀목정,거제교통정보센터,128.5819564,34.86278339
55,L280002,거제면 서정사거리,거제교통정보센터,128.5850852,34.8552036
56,L280049,거제영업소,거제교통정보센터,128.7063061,35.013611
57,L280003,고현동 고현버스터미널사거리,거제교통정보센터,128.6241776,34.8919761
58,L280004,고현동 고현사거리,거제교통정보센터,128.6239052,34.88719857
59,L280005,고현동 공설운동장교차로,거제교통정보센터,128.6205228,34.88311517
60,L280006,고현동 보건소밑,거제교통정보센터,128.6361869,34.89212535
61,L280007,남부면 도장포마을교차로,거제교통정보센터,128.6607614,34.7402533
62,L280008,남부면 저구삼거리,거제교통정보센터,128.6136415,34.7300588
63,L280009,남부면 함목삼거리,거제교통정보센터,128.6507193,34.7416547
64,L280010,덕포동 덕포교차로,거제교통정보센터,128.7072378,34.9146874
65,L280011,덕포동 하덕마을교차로,거제교통정보센터,128.7040128,34.91079013
66,L280012,동부면 연담삼거리,거제교통정보센터,128.6296646,34.8102623
67,L280013,동부면 학동삼거리,거제교통정보센터,128.6409485,34.7746521
68,L280014,동부면 학동삼거리1,거제교통정보센터,128.640994,34.774894
69,L280015,동부면 학동삼거리2,거제교통정보센터,128.641214,34.77509
70,L280016,문동동 상동교차로,거제교통정보센터,128.6405141,34.8660624
71,L280017,사등면 구거제대교,거제교통정보센터,128.476879,34.88339791
72,L280018,사등면 두동마을,거제교통정보센터,128.5761112,34.89227763
73,L280019,사등면 두동터널후방,거제교통정보센터,128.5783699,34.87772852
74,L280020,사등면 사곡램프,거제교통정보센터,128.5704947,34.8979657
75,L280021,사등면 신거제대교입구,거제교통정보센터,128.4844096,34.8868764
76,L280022,삼거동 삼거마을,거제교통정보센터,128.650406,34.836064
77,L280100,상동교차로-01,거제교통정보센터,128.6402506,34.8660305
78,L280101,상동교차로-02,거제교통정보센터,128.6411408,34.8656271
79,L280102,상동교차로-03,거제교통정보센터,128.6408502,34.8656829
80,L280103,상동교차로-04,거제교통정보센터,128.6406155,34.8659642
81,L280023,상동동 독봉산웰빙공원,거제교통정보센터,128.6327801,34.8778483
82,L280024,상동동 상동사거리,거제교통정보센터,128.6317309,34.8741741
83,L280096,상동사거리-01,거제교통정보센터,128.6317261,34.8742865
84,L280097,상동사거리-02,거제교통정보센터,128.6320759,34.8743266
85,L280098,상동사거리-03,거제교통정보센터,128.6317037,34.874459
86,L280099,상동사거리-04,거제교통정보센터,128.6320775,34.8741168
87,L280025,수월동 수월삼거리,거제교통정보센터,128.6422001,34.8962048
88,L280080,수월사거리(9번교차로)-01,거제교통정보센터,128.6420211,34.8965552
89,L280081,수월사거리(9번교차로)-02,거제교통정보센터,128.6422899,34.8962592
90,L280082,수월사거리(9번교차로)-03,거제교통정보센터,128.6422849,34.896583
91,L280083,수월사거리(9번교차로)-04,거제교통정보센터,128.6421293,34.8962425
92,L280061,신촌삼거리-01,거제교통정보센터,128.6140752,34.8886591
93,L280062,신촌삼거리-02,거제교통정보센터,128.6141203,34.8887528
94,L280063,신촌삼거리-03,거제교통정보센터,128.6142573,34.8887321
95,L280104,신현중교차로(4번교차로)-01,거제교통정보센터,128.6163617,34.8898927
96,L280105,신현중교차로(4번교차로)-02,거제교통정보센터,128.6168086,34.8901379
97,L280106,신현중교차로(4번교차로)-03,거제교통정보센터,128.6163983,34.8902247
98,L280107,신현중교차로(4번교차로)-04,거제교통정보센터,128.6167995,34.8898904
99,L280026,아주동 아주대동다숲,거제교통정보센터,128.6853564,34.86783996
100,L280027,아주동 아주운동장앞사거리,거제교통정보센터,128.6904029,34.8648929
101,L280028,아주동 아주터널사거리,거제교통정보센터,128.6893953,34.8695344
102,L280092,아주터널사거리-01,거제교통정보센터,128.689584,34.869632
103,L280093,아주터널사거리-02,거제교통정보센터,128.689296,34.868966
104,L280094,아주터널사거리-03,거제교통정보센터,128.689237,34.869476
105,L280095,아주터널사거리-04,거제교통정보센터,128.689833,34.86894
106,L280084,연사삼거리-01,거제교통정보센터,128.6457407,34.9091486
107,L280085,연사삼거리-02,거제교통정보센터,128.6456406,34.9089142
108,L280086,연사삼거리-03,거제교통정보센터,128.6457875,34.9090065
109,L280029,연초면 송정IC,거제교통정보센터,128.6794582,34.9125789
110,L280030,연초면 야부삼거리,거제교통정보센터,128.666056,34.911636
111,L280031,연초면 양지휴게소후방,거제교통정보센터,128.6813392,34.90120639
112,L280032,연초면 연사삼거리,거제교통정보센터,128.6459173,34.90567356
113,L280034,연초면 연초치안센터,거제교통정보센터,128.6532241,34.9120913
114,L280033,연초면 죽토교,거제교통정보센터,128.6569197,34.91168739
115,L280090,연초삼거리-01,거제교통정보센터,128.653392,34.9119982
116,L280091,연초삼거리-02,거제교통정보센터,128.6527194,34.9118565
117,L280036,옥포동 옥포삼거리,거제교통정보센터,128.6878577,34.8930792
118,L280087,옥포삼거리-01,거제교통정보센터,128.687482,34.893304
119,L280088,옥포삼거리-02,거제교통정보센터,128.687841,34.892941
120,L280089,옥포삼거리-03,거제교통정보센터,128.687558,34.893096
121,L280037,일운면 구조라해수욕장,거제교통정보센터,128.691046,34.809313
122,L280038,일운면 망치삼거리,거제교통정보센터,128.6786684,34.8147073
123,L280039,일운면 신촌사거리,거제교통정보센터,128.6993404,34.8352579
124,L280040,일운면 와현해수욕장,거제교통정보센터,128.709425,34.8263
125,L280041,장목면 관포교차로,거제교통정보센터,128.689365,34.9910847
126,L280042,장목면 대금교차로,거제교통정보센터,128.6984487,34.9684732
127,L280043,장목면 외포교차로,거제교통정보센터,128.7102305,34.9399581
128,L280044,장승포동 두모로터리,거제교통정보센터,128.7222678,34.8703941
129,L280035,장승포동 옥림아파트사거리,거제교통정보센터,128.7199567,34.855396
130,L280045,장승포동 장승포소방서앞,거제교통정보센터,128.7297334,34.8711827
131,L280057,장평교차로-01,거제교통정보센터,128.6090561,34.8888116
132,L280058,장평교차로-02,거제교통정보센터,128.6089301,34.888742
133,L280059,장평교차로-03,거제교통정보센터,128.6091999,34.888751
134,L280060,장평교차로-04,거제교통정보센터,128.6090628,34.8887004
135,L280046,장평동 새거제관광휴게소전방,거제교통정보센터,128.5936949,34.8912037
136,L280047,장평동 신촌삼거리,거제교통정보센터,128.6142103,34.8885017
137,L280048,장평동 장평오거리,거제교통정보센터,128.6089338,34.8932442
138,L280076,중곡육교차로(8번교차로)-01,거제교통정보센터,128.6305849,34.8929352
139,L280077,중곡육교차로(8번교차로)-02,거제교통정보센터,128.6303945,34.8927648
140,L280078,중곡육교차로(8번교차로)-03,거제교통정보센터,128.6308454,34.8927965
141,L280079,중곡육교차로(8번교차로)-04,거제교통정보센터,128.6305907,34.8926522
142,L280054,침매터널(거제방향),거제교통정보센터,128.7977039,35.0202051
143,L280053,침매터널(부산방향),거제교통정보센터,128.7894504,35.018093
144,L280055,침매터널입구,거제교통정보센터,128.8090955,35.0224992
145,L280072,터미널사거리(7번교차로)-01,거제교통정보센터,128.6240553,34.8917997
146,L280073,터미널사거리(7번교차로)-02,거제교통정보센터,128.6245292,34.8918406
147,L280074,터미널사거리(7번교차로)-03,거제교통정보센터,128.6241889,34.891996
148,L280075,터미널사거리(7번교차로)-04,거제교통정보센터,128.6243878,34.891635
149,L280064,한전교차로(5번교차로)-01,거제교통정보센터,128.6180151,34.890932
150,L280065,한전교차로(5번교차로)-02,거제교통정보센터,128.6179794,34.8908612
151,L280066,한전교차로(5번교차로)-03,거제교통정보센터,128.6181215,34.8909106
152,L280067,한전교차로(5번교차로)-04,거제교통정보센터,128.6180807,34.8908389
153,E440001,경산네거리,경산교통정보센터,128.734845,35.834296
154,E440002,경산오거리,경산교통정보센터,128.737192,35.823757
155,E440009,계양네거리,경산교통정보센터,128.749202,35.823017
156,E440013,대구카톨릭대입구,경산교통정보센터,128.812032,35.907678
157,E440010,대구한의대입구 삼거리,경산교통정보센터,128.777384,35.812054
158,E440014,동강네거리,경산교통정보센터,128.833411,35.956113
159,E440003,백천교차로,경산교통정보센터,128.741001,35.807648
160,E440012,사동삼거리,경산교통정보센터,128.760183,35.818162
161,E440006,압량네거리,경산교통정보센터,128.761466,35.841519
162,E440008,역전네거리,경산교통정보센터,128.728719,35.820048
163,E440005,영대오거리,경산교통정보센터,128.747056,35.834032
164,E440011,자인교차로,경산교통정보센터,128.811569,35.815966
165,E440004,중산삼거리,경산교통정보센터,128.722551,35.835087
166,E440007,중산지구입구 삼거리,경산교통정보센터,128.716303,35.82456
167,E440015,진량읍사무소,경산교통정보센터,128.818718,35.875016
168,E350002,건천농협네거리,경주교통정보센터,129.103265,35.849555
169,E350003,경북문화관광공사,경주교통정보센터,129.288241,35.843308
170,E350004,경주교남단,경주교통정보센터,129.217646,35.851753
171,E350005,경주여고삼거리,경주교통정보센터,129.207758,35.857316
172,E350007,계림중네거리,경주교통정보센터,129.212894,35.863477
173,E350009,광명삼거리,경주교통정보센터,129.147366,35.818996
174,E350010,괘릉신호대,경주교통정보센터,129.314139,35.757478
175,E350011,교촌교 남단 삼거리,경주교통정보센터,129.214799,35.828513
176,E350012,구어2산업단입구교차로,경주교통정보센터,129.294693,35.709996
177,E350013,구어사거리,경주교통정보센터,129.326516,35.707485
178,E350014,구정로터리,경주교통정보센터,129.294861,35.778132
179,E350015,구황교네거리,경주교통정보센터,129.236485,35.841586
180,E350017,군부대입구신호대(동천1대대),경주교통정보센터,129.234147,35.848392
181,E350018,근화여고,경주교통정보센터,129.225681,35.872438
182,E350019,금성삼거리,경주교통정보센터,129.206144,35.817891
183,E350021,금장교네거리,경주교통정보센터,129.207121,35.865874
184,E350022,금장교차로,경주교통정보센터,129.193903,35.873003
185,E350023,나산천교,경주교통정보센터,129.46192,35.708085
186,E350024,나산초등삼거리신호대,경주교통정보센터,129.471242,35.698658
187,E350025,나정교사거리,경주교통정보센터,129.2024,35.815577
188,E350026,달성네거리,경주교통정보센터,129.243645,36.058059
189,E350028,대종천삼거리(대본삼거리),경주교통정보센터,129.480226,35.744926
190,E350029,도당터널 인근,경주교통정보센터,129.221924,35.824426
191,E350030,동궁원,경주교통정보센터,129.263407,35.851474
192,E350031,동대교네거리,경주교통정보센터,129.202217,35.856301
193,E350032,동천구획지구진입로,경주교통정보센터,129.235927,35.846691
194,E350033,동천동,경주교통정보센터,129.24804,35.8433
195,E350034,두산위브네거리,경주교통정보센터,129.325063,35.781257
196,E350035,라한셀렉트삼거리,경주교통정보센터,129.278404,35.850715
197,E350036,문산2산단진입로네거리,경주교통정보센터,129.314749,35.672029
198,E350037,박물관네거리,경주교통정보센터,129.229265,35.831332
199,E350039,배반네거리,경주교통정보센터,129.23493,35.827678
200,E350040,보문 라원,경주교통정보센터,129.264075,35.846935
201,E350042,보문교삼거리,경주교통정보센터,129.258372,35.846613
202,E350043,보불로삼거리,경주교통정보센터,129.30073,35.831627
203,E350044,보불로전원식당,경주교통정보센터,129.306609,35.814986
204,E350045,보불로하동지,경주교통정보센터,129.313411,35.801099
205,E350046,불국사농협주유소삼거리,경주교통정보센터,129.308948,35.768722
206,E350047,블루원리조트진입로삼거리,경주교통정보센터,129.306042,35.817746
207,E350048,사천왕사지삼거리,경주교통정보센터,129.241705,35.819085
208,E350050,서라벌네거리,경주교통정보센터,129.207121,35.839281
209,E350051,서라벌대 신호대,경주교통정보센터,129.186234,35.841453
210,E350052,서라벌초입구삼거리,경주교통정보센터,129.278338,35.833722
211,E350054,서악동,경주교통정보센터,129.194356,35.830957
212,E350055,서천교 서편,경주교통정보센터,129.198999,35.837368
213,E350056,석계교,경주교통정보센터,129.313889,35.679524
214,E350057,석장동 입구 삼거리(동대병원),경주교통정보센터,129.196248,35.859154
215,E350058,석탈해왕릉,경주교통정보센터,129.230843,35.851562
216,E350059,선덕네거리,경주교통정보센터,129.221326,35.836194
217,E350061,소노캄삼거리,경주교통정보센터,129.284036,35.84637
218,E350062,소방서 삼거리,경주교통정보센터,129.229003,35.843942
219,E350063,승삼네거리,경주교통정보센터,129.227452,35.877167
220,E350064,시청네거리,경주교통정보센터,129.224215,35.856643
221,E350065,신당교차로,경주교통정보센터,129.235691,35.889041
222,E350066,신한은행네거리,경주교통정보센터,129.211644,35.84459
223,E350067,안강네거리,경주교통정보센터,129.228282,35.991522
224,E350068,양남하서네거리,경주교통정보센터,129.46152,35.677654
225,E350069,양정로삼거리,경주교통정보센터,129.223348,35.849404
226,E350070,역전삼거리,경주교통정보센터,129.217238,35.844778
227,E350071,영마을삼거리,경주교통정보센터,129.200891,35.845162
228,E350072,오릉네거리,경주교통정보센터,129.210532,35.81991
229,E350073,외동교차로,경주교통정보센터,129.331513,35.691071
230,E350074,외동농공단지입구삼거리(다스앞),경주교통정보센터,129.331217,35.695753
231,E350075,용강네거리,경주교통정보센터,129.223793,35.867804
232,E350076,용강현진에버빌 삼거리,경주교통정보센터,129.22331,35.886069
233,E350077,용황지구,경주교통정보센터,129.230477,35.882287
234,E350078,용황휴포레입구삼거리,경주교통정보센터,129.227731,35.883391
235,E350079,율동 1979,경주교통정보센터,129.170347,35.815899
236,E350082,율동삼거리,경주교통정보센터,129.176248,35.814351
237,E350083,읍천항 입구 삼거리,경주교통정보센터,129.473943,35.689558
238,E350084,이안아파트삼거리,경주교통정보센터,129.171775,35.844856
